	Compound_ID	SUPER_PATHWAY	SUB_PATHWAY	HMDB_ID	HMDB_ID_Link	COMP_ID	PLATFORM	CHEMICAL_ID	RT	MZ	RI	MASS	PUBCHEM	CAS	KEGG	Metabolite
3723	3723	Nucleotide	Purine Metabolism, Adenine containing	HMDB0041623	HMDB41623	35157	LC/MS Neg	100001415	2164	411.12700000000001	2164	411.12700000000001	161466	24719-82-2	NA	N6-carbamoylthreonyladenosine
3744	3744	Nucleotide	Purine Metabolism, Guanine containing	HMDB0000897	HMDB00897	35114	LC/MS Pos Early	100001456	2175	166.07230000000001	2175	166.07230000000001	11361	578-76-7	C02242	7-methylguanine
3750	3750	Nucleotide	Purine Metabolism, Guanine containing	HMDB0004824	HMDB04824	35137	LC/MS Pos Early	100001412	2210	312.13029999999998	2210	312.13029999999998	92919	2140-67-2	NA	N2,N2-dimethylguanosine
3762	3762	Nucleotide	Pyrimidine Metabolism, Orotate containing	HMDB0003349	HMDB03349	601	LC/MS Polar	923	1910	157.02549999999999	1910	157.02549999999999	648	155-54-4	C00337	dihydroorotate
3763	3763	Nucleotide	Pyrimidine Metabolism, Orotate containing	HMDB0000226	HMDB00226	1505	LC/MS Polar	445	1638.1	155.00980000000001	1638.1	155.00980000000001	967	50887-69-9	C00295	orotate
3765	3765	Nucleotide	Pyrimidine Metabolism, Orotate containing	HMDB0000788	HMDB00788	35172	LC/MS Polar	100001416	2250	287.0521	2250	287.0521	92751	314-50-1	NA	orotidine
3775	3775	Nucleotide	Pyrimidine Metabolism, Uracil containing	HMDB0000296	HMDB00296	606	LC/MS Neg	535	1457.6	243.06229999999999	1457.6	243.06229999999999	6029	58-96-8	C00299	uridine
3776	3776	Nucleotide	Pyrimidine Metabolism, Uracil containing	HMDB0000300	HMDB00300	605	LC/MS Pos Early	825	827	113.0346	827	113.0346	1174	66-22-8	C00106	uracil
3777	3777	Nucleotide	Pyrimidine Metabolism, Uracil containing	HMDB0000767	HMDB00767	33442	LC/MS Neg	821	1100	243.06229999999999	1100	243.06229999999999	15047	1445-07-4	C02067	pseudouridine
3778	3778	Nucleotide	Pyrimidine Metabolism, Uracil containing	NA	NA	61833	LC/MS Neg	100001425	1119	245.0779	1119	245.0779	94312	1361384	NA	5,6-dihydrouridine
3780	3780	Nucleotide	Pyrimidine Metabolism, Uracil containing	HMDB0000884	HMDB00884	35136	LC/MS Neg	100001446	1778.1	257.0779	1778.1	257.0779	445408	1463-10-1	NA	5-methyluridine (ribothymidine)
3791	3791	Nucleotide	Pyrimidine Metabolism, Uracil containing	HMDB0000012	HMDB00012	1412	LC/MS Neg	536	1586	111.02	1586	111.02	13712	951-78-0	C00526	2'-deoxyuridine
3794	3794	Nucleotide	Pyrimidine Metabolism, Uracil containing	HMDB0000026	HMDB00026	3155	LC/MS Pos Early	1053	875	133.0608	875	133.0608	111	462-88-4	C02642	3-ureidopropionate
3795	3795	Nucleotide	Pyrimidine Metabolism, Uracil containing	HMDB0000056	HMDB00056	55	LC/MS Pos Early	244	1905	90.055000000000007	1905	90.055000000000007	239	56-41-7;107-95-9	C00099	beta-alanine
3796	3796	Nucleotide	Pyrimidine Metabolism, Uracil containing	NA	NA	37432	LC/MS Neg	100002102	773	130.05099999999999	773	130.05099999999999	76406	3025-95-4	C01073	N-acetyl-beta-alanine
3806	3806	Nucleotide	Pyrimidine Metabolism, Cytidine containing	HMDB0000089	HMDB00089	514	LC/MS Pos Early	827	2124	244.09280000000001	2124	244.09280000000001	6175	65-46-3	C00475	cytidine
3807	3807	Nucleotide	Pyrimidine Metabolism, Cytidine containing	HMDB0000630	HMDB00630	573	LC/MS Pos Early	881	2060	112.0505	2060	112.0505	597	71-30-7	C00380	cytosine
3809	3809	Nucleotide	Pyrimidine Metabolism, Cytidine containing	HMDB0000982	HMDB00982	22119	LC/MS Pos Early	100000763	2227	258.10849999999999	2227	258.10849999999999	92918	2140-61-6	NA	5-methylcytidine
3816	3816	Nucleotide	Pyrimidine Metabolism, Cytidine containing	HMDB0000014	HMDB00014	15949	LC/MS Pos Early	100000125	2193	228.09790000000001	2193	228.09790000000001	13711	951-77-9	C00881	2'-deoxycytidine
3817	3817	Nucleotide	Pyrimidine Metabolism, Cytidine containing	NA	NA	57554	LC/MS Pos Early	100010895	2411	258.10849999999999	2411	258.10849999999999	150971	2140-72-9	NA	2'-O-methylcytidine
3818	3818	Nucleotide	Pyrimidine Metabolism, Cytidine containing	HMDB0002224	HMDB02224	38159	LC/MS Pos Early	100002300	2303	242.11349999999999	2303	242.11349999999999	440055	838-07-3	C03592	5-methyl-2'-deoxycytidine
3827	3827	Nucleotide	Pyrimidine Metabolism, Thymine containing	HMDB0000273	HMDB00273	2183	LC/MS Neg	872	1963.7	241.083	1963.7	241.083	5789	50-89-5	C00214	thymidine
3849	3849	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	HMDB0000232	HMDB00232	1899	LC/MS Polar	182	3000	166.0146	3000	166.0146	1066	89-00-9	C03722	quinolinate
3853	3853	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	HMDB0001406	HMDB01406	594	LC/MS Pos Early	432	1942	123.0553	1942	123.0553	936	98-92-0	C00153	nicotinamide
3856	3856	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	HMDB0000855	HMDB00855	33013	LC/MS Pos Early	100001310	2040	255.0976	2040	255.0976	439924	1341-23-7	C03150	nicotinamide riboside
3865	3865	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	HMDB0000699	HMDB00699	27665	LC/MS Pos Early	55	1940	137.07089999999999	1940	137.07089999999999	10129985	1005-24-9	C02918	1-methylnicotinamide
3870	3870	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	HMDB0000875	HMDB00875	32401	LC/MS Pos Early	100001092	1388	138.05500000000001	1388	138.05500000000001	5570	535-83-1	C01004	trigonelline (N'-methylnicotinate)
3872	3872	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	HMDB0004193	HMDB04193	40469	LC/MS Neg	100001468	1668	151.0513	1668	151.0513	69698	701-44-0	C05842	N1-Methyl-2-pyridone-5-carboxamide
3881	3881	Cofactors and Vitamins	Pantothenate and CoA Metabolism	HMDB0000210	HMDB00210	1508	LC/MS Pos Early	1024	1667	220.11799999999999	1667	220.11799999999999	6613	137-08-6	C00864	pantothenate (Vitamin B5)
3894	3894	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	HMDB0000943	HMDB00943	27738	LC/MS Polar	100001022	2384	135.0299	2384	135.0299	151152	70753-61-6	C01620	threonate
3897	3897	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	HMDB0002329	HMDB02329	20694	LC/MS Neg	100000841	603	88.988	603	88.988	971	144-62-7	C00209	oxalate (ethanedioate)
3898	3898	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	HMDB0003290	HMDB03290	46957	LC/MS Polar	100001586	2750	195.05099999999999	2750	195.05099999999999	9794176	20246-53-1	C00257	gulonate*
3900	3900	Cofactors and Vitamins	Tocopherol Metabolism	HMDB0001893	HMDB01893	1561	LC/MS Pos Late	1105	2522	430.37819999999999	2522	430.37819999999999	14985	59-02-9;10191-41-0	C02477	alpha-tocopherol
3911	3911	Cofactors and Vitamins	Tocopherol Metabolism	NA	NA	47666	LC/MS Neg	100005972	3090	357.10129999999998	3090	357.10129999999998	NA	NA	NA	alpha-CEHC sulfate
3922	3922	Cofactors and Vitamins	Tocopherol Metabolism	NA	NA	52473	LC/MS Pos Late	100008998	2384	416.36430000000001	2384	416.36430000000001	NA	NA	NA	gamma-tocopherol/beta-tocopherol
3944	3944	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	HMDB0003178	HMDB03178	41754	LC/MS Neg	100001386	5325	632.17219999999998	5325	632.17219999999998	26945	14875-96-8	C00032	heme
3945	3945	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	HMDB0000054	HMDB00054	43807	LC/MS Pos Late	1090	1840	585.27080000000001	1840	585.27080000000001	5280352	635-65-4	C00486	bilirubin
3946	3946	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	NA	NA	32586	LC/MS Pos Late	100001950	1045	585.27080000000001	1045	585.27080000000001	5315454	NA	NA	bilirubin (E,E)*
3948	3948	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	HMDB0001008	HMDB01008	2137	LC/MS Pos Late	250	1016	583.25509999999997	1016	583.25509999999997	5353439	55482-27-4;55482-27-4	C00500	biliverdin
3965	3965	Cofactors and Vitamins	Vitamin A Metabolism	HMDB0000305	HMDB00305	1806	LC/MS Pos Late	498	1636	269.22640000000001	1636	269.22640000000001	445354	68-26-8	C00473	retinol (Vitamin A)
3981	3981	Cofactors and Vitamins	Vitamin B6 Metabolism	HMDB0001431	HMDB01431	2150	LC/MS Pos Early	568	2975	169.09719999999999	2975	169.09719999999999	1052	58052-48-5	C00534	pyridoxamine
3984	3984	Cofactors and Vitamins	Vitamin B6 Metabolism	HMDB0001545	HMDB01545	1651	LC/MS Neg	491	1534.9	166.05099999999999	1534.9	166.05099999999999	1050	65-22-5	C00250	pyridoxal
3985	3985	Cofactors and Vitamins	Vitamin B6 Metabolism	HMDB0000017	HMDB00017	31555	LC/MS Neg	100001121	2185	182.04589999999999	2185	182.04589999999999	6723	82-82-6	C00847	pyridoxate
3987	3987	Xenobiotics	Benzoate Metabolism	HMDB0000714	HMDB00714	15753	LC/MS Neg	100000014	2106.9	178.05099999999999	2106.9	178.05099999999999	464	495-69-2	C01586	hippurate
4001	4001	Xenobiotics	Benzoate Metabolism	HMDB0001870	HMDB01870	15778	LC/MS Neg	100000008	1750	121.0295	1750	121.0295	243	65-85-0	C00180	benzoate
4039	4039	Xenobiotics	Benzoate Metabolism	HMDB0062551	HMDB62551	36099	LC/MS Neg	100001756	3580	201.02269999999999	3580	201.02269999999999	NA	123-07-9	C13637	4-ethylphenyl sulfate
4063	4063	Xenobiotics	Benzoate Metabolism	HMDB0011635	HMDB11635	36103	LC/MS Neg	100001315	2890	187.00710000000001	2890	187.00710000000001	4615423	3233-57-7	NA	p-cresol sulfate
4115	4115	Xenobiotics	Food Component/Plant	HMDB0011749	HMDB11749	43400	LC/MS Pos Early	100004295	1675	100.0757	1675	100.0757	12665	675-20-7	NA	2-piperidinone
4201	4201	Xenobiotics	Food Component/Plant	HMDB0012141	HMDB12141	38276	LC/MS Polar	100002417	1050	133.0506	1050	133.0506	677	1756-18-9	C04039	2,3-dihydroxyisovalerate
4210	4210	Xenobiotics	Food Component/Plant	HMDB0035514	HMDB35514	40479	LC/MS Pos Early	100003109	2378	192.06549999999999	2378	192.06549999999999	3080590	2971-31-5	NA	2-oxindole-3-acetate
4213	4213	Xenobiotics	Food Component/Plant	HMDB0029737	HMDB29737	62863	LC/MS Pos Early	100020219	2736	146.06	2736	146.06	10256	NA	C08493	3-formylindole
4235	4235	Xenobiotics	Food Component/Plant	HMDB0000625	HMDB00625	587	LC/MS Polar	338	2922	195.05099999999999	2922	195.05099999999999	10690	527-07-1	C00257	gluconate
4258	4258	Xenobiotics	Food Component/Plant	HMDB0013222	HMDB13222	35101	LC/MS Pos Early	100001411	2145	132.07679999999999	2145	132.07679999999999	67701	353-09-3	C03065	beta-guanidinopropanoate
4314	4314	Xenobiotics	Food Component/Plant	NA	NA	41948	LC/MS Neg	100003895	3215	417.1191	3215	417.1191	NA	NA	NA	equol glucuronide
4316	4316	Xenobiotics	Food Component/Plant	HMDB0003045	HMDB03045	37459	LC/MS Pos Early	100002154	850	230.0958	850	230.0958	3032311	58511-63-0	C05570	ergothioneine
4318	4318	Xenobiotics	Food Component/Plant	HMDB0002994	HMDB02994	20699	LC/MS Polar	100000846	1491	167.05609999999999	1491	167.05609999999999	222285	149-32-6	C00503	erythritol
4354	4354	Xenobiotics	Food Component/Plant	HMDB0033433	HMDB33433	33009	LC/MS Pos Early	100001550	1750	158.11760000000001	1750	158.11760000000001	441447	1195-94-4	C08283	homostachydrine*
4376	4376	Xenobiotics	Food Component/Plant	NA	NA	62864	LC/MS Polar	100003695	2736	195.05099999999999	2736	195.05099999999999	3246006	642-99-9	NA	mannonate*
4465	4465	Xenobiotics	Food Component/Plant	HMDB0004827	HMDB04827	34384	LC/MS Pos Early	100001296	1440	144.1019	1440	144.1019	115244	4136-37-2	C10172	stachydrine
4602	4602	Xenobiotics	Food Component/Plant	HMDB0035227	HMDB35227	20693	LC/MS Neg	100000840	610	118.9986	610	118.9986	45	80-69-3	C02287	tartronate (hydroxymalonate)
5040	5040	Xenobiotics	Drug - Topical Agents	HMDB0013676	HMDB13676	63042	LC/MS Polar	100020837	729	153.01929999999999	729	153.01929999999999	9338	303-07-1	NA	2,6-dihydroxybenzoic acid
5074	5074	Xenobiotics	Drug - Other	NA	NA	52923	LC/MS Pos Early	100006629	2155	260.11290000000002	2155	260.11290000000002	NA	NA	NA	maleoylcarnitine
5116	5116	Xenobiotics	Chemical	HMDB0001448	HMDB01448	46960	LC/MS Neg	100002528	616	96.960099999999997	616	96.960099999999997	1118	14808-79-8	C00059	sulfate*
5119	5119	Xenobiotics	Chemical	NA	NA	45413	LC/MS Neg	100005384	990	260.02339999999998	990	260.02339999999998	514186	NA	NA	O-sulfo-L-tyrosine
5123	5123	Xenobiotics	Chemical	NA	NA	40452	LC/MS Pos Early	100003265	1600	158.0812	1600	158.0812	3146688	77191-38-9	NA	2-oxo-1-pyrrolidinepropionate
5252	5252	Xenobiotics	Chemical	NA	NA	48698	LC/MS Neg	100006260	2498	212.00229999999999	2498	212.00229999999999	NA	NA	NA	6-hydroxyindole sulfate
5256	5256	Xenobiotics	Chemical	NA	NA	53231	LC/MS Pos Early	100009232	1250	134.02699999999999	1250	134.02699999999999	93176	34592-47-4	NA	thioproline
5272	5272	Xenobiotics	Chemical	NA	NA	63272	LC/MS Polar	100021273	1328	267.07220000000001	1328	267.07220000000001	NA	7286-45-5	NA	6-acetylglucose
